Year,Respondent_ID,Agency_Code,Loan_Type,Property_Type,Loan_Purpose,Occupancy,Amount,Action_Type,State_Code,County_Code,Income,Purchaser_Type ,Denial_Reason_1,Property_Location,USPS_Code,GDP,Real_State_Growth_%,Rate,PMT,IncRat,Unemployemnt,AmorTer
2017,2182786,9,1,1,1,2,1100,1,12,21,375,0,,,FL,968.00,2.70,0.04,5245.11,0.013986951,0.042,360
2017,2182786,9,1,1,1,1,685,1,37,183,360,0,,,NC,537.00,1.90,0.04,3266.27,0.009072975,0.046,360
2017,2182786,9,1,1,1,1,1100,1,45,19,186,0,,,SC,217.80,2.10,0.04,5245.11,0.028199498,0.043,360
2017,2182786,9,1,1,2,1,1134,1,13,121,534,0,,,GA,548.40,2.70,0.04,5407.23,0.010125895,0.047,360
2017,2182786,9,1,1,1,1,625,1,12,109,34,0,,,FL,968.00,2.70,0.04,2980.17,0.087652184,0.042,360
2017,2182786,9,1,1,1,2,464,1,36,61,564,0,,,NY,1536.60,1.30,0.04,2212.48,0.003922839,0.047,360
2017,2182786,9,1,1,1,2,3738,1,36,61,1640,0,,,NY,1536.60,1.30,0.04,17823.83,0.010868187,0.047,360
2017,2182786,9,1,1,1,1,900,1,9,1,135,0,,,CT,271.70,1.50,0.04,4291.45,0.031788526,0.047,360
2017,2182786,9,1,1,1,2,1100,1,12,71,295,0,,,FL,968.00,2.70,0.04,5245.11,0.017780023,0.042,360
2017,2182786,9,1,1,1,1,1275,1,48,201,218,0,,,TX,1645.10,1.10,0.04,6079.56,0.027887869,0.043,360
2017,2182786,9,1,1,3,1,876,1,9,1,388,0,,,CT,271.70,1.50,0.04,4177.01,0.010765496,0.047,360
2017,2182786,9,1,1,1,1,794,1,47,187,190,0,,,TN,341.30,2.10,0.04,3786.01,0.019926386,0.037,360
2017,2182786,9,1,1,1,1,910,1,36,61,159,0,,,NY,1536.60,1.30,0.04,4339.13,0.027290149,0.047,360
2017,2182786,9,1,1,3,2,750,1,6,75,1966,0,,,CA,2711.80,2.60,0.04,3576.21,0.001819028,0.048,360
2017,2182786,9,1,1,1,1,1556,1,11,1,6,0,,,DC,132.30,2.30,0.04,7419.44,1.236573643,0.061,360
2017,2182786,9,1,1,3,1,675,1,6,73,1030,0,,,CA,2711.80,2.60,0.04,3218.59,0.003124843,0.048,360
2017,2182786,9,1,1,3,2,750,1,6,41,1966,0,,,CA,2711.80,2.60,0.04,3576.21,0.001819028,0.048,360
2017,2182786,9,1,1,3,1,14000,4,6,37,1030,0,,,CA,2711.80,2.60,0.04,66755.90,0.064811557,0.048,360
2017,2182786,9,1,1,1,1,2083,1,36,119,502,0,,,NY,1536.60,1.30,0.04,9932.32,0.019785508,0.047,360
2017,2182786,9,1,1,1,1,899,1,51,510,172,0,,,VA,509.60,1.20,0.04,4286.68,0.024922574,0.038,360
2017,2182786,9,1,1,1,1,3247,4,6,13,1250,0,,,CA,2711.80,2.60,0.04,15482.60,0.012386081,0.048,360
2017,2182786,9,1,1,1,2,716,1,48,453,370,0,,,TX,1645.10,1.10,0.04,3414.09,0.009227264,0.043,360
2017,2182786,9,1,1,1,2,9035,3,36,103,2555,0,1,,NY,1536.60,1.30,0.04,43081.40,0.016861604,0.047,360
2017,2182786,9,1,1,1,2,700,1,35,43,421,0,,,NM,94.80,0.60,0.04,3337.80,0.007928255,0.062,360
2017,2182786,9,1,1,1,1,840,1,9,1,258,0,,,CT,271.70,1.50,0.04,4005.35,0.015524629,0.047,360
2017,2182786,9,1,1,3,2,650,1,12,11,650,0,,,FL,968.00,2.70,0.04,3099.38,0.004768279,0.042,360
2017,2182786,9,1,1,3,1,575,1,12,61,192,0,,,FL,968.00,2.70,0.04,2741.76,0.014280002,0.042,360
2017,2182786,9,1,1,1,2,900,1,25,1,465,0,,,MA,528.00,2.10,0.04,4291.45,0.009228927,0.037,360
2017,2182786,9,1,1,1,1,1100,4,25,21,131,0,,,MA,528.00,2.10,0.04,5245.11,0.040038983,0.037,360
2017,2182786,9,1,1,3,1,696,1,51,59,320,0,,,VA,509.60,1.20,0.04,3318.72,0.010371006,0.038,360
2017,2182786,9,1,1,3,2,2500,1,36,103,1908,0,,,NY,1536.60,1.30,0.04,11920.70,0.006247745,0.047,360
2017,2182786,9,1,1,1,1,6500,1,51,59,4733,0,,,VA,509.60,1.20,0.04,30993.81,0.00654845,0.038,360
2017,2182786,9,1,1,3,1,417,1,42,3,318,0,,,PA,746.00,1.50,0.04,1988.37,0.006252743,0.049,360
2017,2182786,9,1,1,1,1,625,1,17,31,30,0,,,IL,815.50,1.40,0.04,2980.17,0.099339142,0.05,360
2017,2182786,9,1,1,1,2,1400,1,6,37,399,0,,,CA,2711.80,2.60,0.04,6675.59,0.016730803,0.048,360
2017,2182786,9,1,1,3,2,2100,1,36,61,203,0,,,NY,1536.60,1.30,0.04,10013.39,0.049327022,0.047,360
2017,2182786,9,1,1,3,1,1508,3,34,27,450,0,4,,NJ,600.20,1.60,0.04,7190.56,0.015979032,0.046,360
2017,2182786,9,1,1,1,2,1427,4,6,37,2261,0,,,CA,2711.80,2.60,0.04,6804.33,0.003009436,0.048,360
2017,2182786,9,1,1,1,1,916,4,51,510,247,0,,,VA,509.60,1.20,0.04,4367.74,0.017683172,0.038,360
2017,2182786,9,1,1,1,1,1650,1,6,73,536,0,,,CA,2711.80,2.60,0.04,7867.66,0.01467847,0.048,360
2017,2182786,9,1,1,3,1,3000,1,17,97,338,0,,,IL,815.50,1.40,0.04,14304.84,0.042322001,0.05,360
2017,2182786,9,1,1,1,2,5850,1,6,53,1250,0,,,CA,2711.80,2.60,0.04,27894.43,0.022315545,0.048,360
2017,2182786,9,1,1,1,1,2450,1,25,9,446,0,,,MA,528.00,2.10,0.04,11682.28,0.02619346,0.037,360
2017,2182786,9,1,1,1,1,1406,4,12,35,86,0,,,FL,968.00,2.70,0.04,6704.20,0.077955814,0.042,360
2017,2182786,9,1,1,1,1,3429,1,6,37,765,0,,,CA,2711.80,2.60,0.04,16350.43,0.021373109,0.048,360
2017,2182786,9,1,1,1,1,1988,1,48,453,550,0,,,TX,1645.10,1.10,0.04,9479.34,0.017235161,0.043,360
2017,2182786,9,1,1,1,1,1525,4,12,86,110,0,,,FL,968.00,2.70,0.04,7271.63,0.066105684,0.042,360
2017,2182786,9,1,1,1,1,1613,1,6,1,300,0,,,CA,2711.80,2.60,0.04,7691.23,0.025637446,0.048,360
2017,2182786,9,1,1,3,1,2000,3,34,3,1005,0,4,,NJ,600.20,1.60,0.04,9536.56,0.009489112,0.046,360
2017,2182786,9,1,1,1,1,2200,1,6,59,617,0,,,CA,2711.80,2.60,0.04,10490.21,0.017001967,0.048,360
2017,2182786,9,1,1,1,1,3000,1,6,13,1250,0,,,CA,2711.80,2.60,0.04,14304.84,0.011443869,0.048,360
2017,2182786,9,1,1,1,1,1383,4,18,57,909,0,,,IN,352.30,1.80,0.04,6594.53,0.007254708,0.035,360
2017,2182786,9,1,1,1,1,1000,1,48,113,200,0,,,TX,1645.10,1.10,0.04,4768.28,0.023841394,0.043,360
2017,2182786,9,1,1,3,1,902,4,6,37,279,0,,,CA,2711.80,2.60,0.04,4300.99,0.015415726,0.048,360
2017,2182786,9,1,1,1,2,2938,1,6,81,332,0,,,CA,2711.80,2.60,0.04,14009.20,0.042196395,0.048,360
2017,2182786,9,1,1,3,2,546,1,25,23,376,0,,,MA,528.00,2.10,0.04,2603.48,0.00692415,0.037,360
2017,2182786,9,1,1,1,1,1163,1,6,37,15,0,,,CA,2711.80,2.60,0.04,5545.51,0.369700552,0.048,360
2017,2182786,9,1,1,3,1,1000,1,18,127,140,0,,,IN,352.30,1.80,0.04,4768.28,0.034059135,0.035,360
2017,2182786,9,1,1,1,2,1725,1,36,61,1548,0,,,NY,1536.60,1.30,0.04,8225.28,0.005313489,0.047,360
2017,2182786,9,1,1,3,1,672,1,24,31,369,0,,,MD,391.40,1.60,0.04,3204.28,0.008683695,0.041,360
2017,2182786,9,1,1,1,1,1988,1,34,27,786,0,,,NJ,600.20,1.60,0.04,9479.34,0.012060227,0.046,360
2017,2182786,9,1,1,1,1,565,1,47,37,71,0,,,TN,341.30,2.10,0.04,2694.08,0.037944754,0.037,360
2017,2182786,9,1,1,1,1,1331,1,13,121,230,0,,,GA,548.40,2.70,0.04,6346.58,0.027593822,0.047,360
2017,2182786,9,1,1,1,2,1100,1,12,21,697,0,,,FL,968.00,2.70,0.04,5245.11,0.007525261,0.042,360
2017,2182786,9,1,1,1,2,1980,1,6,37,2137,0,,,CA,2711.80,2.60,0.04,9441.19,0.004417965,0.048,360
2017,2182786,9,1,1,1,1,1100,4,29,189,900,0,,,MO,310.50,1.60,0.04,5245.11,0.005827896,0.038,360
2017,2182786,9,1,1,1,2,1000,1,36,67,1592,0,,,NY,1536.60,1.30,0.04,4768.28,0.00299515,0.047,360
